"year","Parameter","n"
2007,"Alkalinity, Total (As CaCO3) (total,mg/l)",327
2007,"Aluminum (dissolved,ug/l)",37
2007,"Aluminum (total,ug/l)",284
2007,"Bromodichloromethane (total,ug/l)",1
2007,"Cadmium (dissolved,ug/l)",32
2007,"Cadmium (total,ug/l)",69
2007,"Calcium (total,mg/l)",335
2007,"Chloride (As Cl) (total,mg/l)",327
2007,"Chlorodibromomethane (total,ug/l)",2
2007,"Chloroform (total,ug/l)",4
2007,"Coliform (total,cfu/100ml)",243
2007,"Copper (dissolved,ug/l)",330
2007,"Copper (total,ug/l)",335
2007,"Fecal Coliform (total,cfu/100ml)",249
2007,"Fluoride (total,mg/l)",97
2007,"Hardness (As CaCO3) (total,mg/l)",328
2007,"Iron (total,ug/l)",335
2007,"Lead (dissolved,ug/l)",227
2007,"Lead (total,ug/l)",323
2007,"Magnesium (total,mg/l)",334
2007,"Manganese (total,ug/l)",335
2007,"Mercury (total,ug/l)",5
2007,"Nickel (dissolved,ug/l)",330
2007,"Nickel (total,ug/l)",333
2007,"Nitrogen, Ammonia (As N) (total,mg/l)",229
2007,"Nitrogen, Kjeldahl, Total (total,mg/l)",321
2007,"Nitrogen, Nitrate-Nitrite (total,mg/l)",326
2007,"Nitrogen, Nitrate (As N) (total,mg/l)",304
2007,"Nitrogen, Nitrite (total,mg/l)",108
2007,"pH (Water) (total,ph units)",646
2007,"Phenolics, Total Recoverable (total,mg/l)",8
2007,"Phosphate Ion (total,mg/l)",310
2007,"Phosphorus (total,mg/l)",325
2007,"Potassium (total,mg/l)",334
2007,"Sodium (total,mg/l)",335
2007,"Specific Conductance (total,umhos/cm)",327
2007,"Sulfate (As SO4) (total,mg/l)",328
2007,"Total Dissolved Solids (Residue, Filterable) (total,mg/l)",328
2007,"Total Organic Carbon (dissolved,mg/l)",321
2007,"Total Organic Carbon (total,mg/l)",325
2007,"Total Solids (total,mg/l)",328
2007,"Total Suspended Solids (total,mg/l)",290
2007,"Total Volatile Solids (total,mg/l)",314
2007,"Zinc (total,ug/l)",248
